381 9873.64 0.0227526486982091  433955.63
384 11846.94 0.0272998877788496  433955.63
387 14031.15 0.0323331442894288  433955.63
390 16194.36 0.0373180087558721  433955.63
393 18495.33 0.0426203250318471  433955.63
396 21302.4 0.0490888895714983  433955.63
399 24258.7 0.0559013371943118  433955.63
402 27408.83 0.0631604433844999  433955.63
405 29277.1 0.0674656531129692  433955.63
408 32012.4 0.0737688320808282  433955.63
411 35899.92 0.0827271672912735  433955.63
414 41154.36 0.0948354097860189  433955.63
417 48414.05 0.111564516399983  433955.63
420 59183.07 0.136380463597165  433955.63
423 74092.21 0.170736833164257  433955.63
426 94359.9 0.217441354545855  433955.63
429 120750 0.27825425378166  433955.63
432 155316.51 0.357908733664776  433955.63
435 199618.13 0.459996636061618  433955.63
438 248389.67 0.572384946359608  433955.63
441 303537.08 0.699465703440695  433955.63
444 354097.65 0.815976624153949  433955.63
447 397294.44 0.915518575021138  433955.63
450 425910.24 0.981460339620435  433955.63
453 433955.63 1  433955.63
456 420786.3 0.969652819114249  433955.63
459 394582.89 0.909270125150813  433955.63
462 361163.2 0.832258357841791  433955.63
465 326087.37 0.751430209581565  433955.63
468 292691.58 0.674473517027536  433955.63
471 264693.3 0.609954755051801  433955.63
474 240017.05 0.553091222713253  433955.63
477 221588.07 0.510623793497045  433955.63
480 206127.2 0.474996026667519  433955.63
482 194641.92 0.448529542064012  433955.63
485 185424.72 0.427289582577832  433955.63
488 181116.78 0.417362438643785  433955.63
491 182020.95 0.419445992669804  433955.63
494 185818.05 0.428195965564498  433955.63
497 195299.61 0.450045111754858  433955.63
500 207920.56 0.479128615061406  433955.63
503 222199.52 0.512032808515469  433955.63
506 238485 0.549560792655231  433955.63
509 255617.16 0.58903985183923  433955.63
512 271632.52 0.62594537602842  433955.63
515 288999.66 0.665965919142471  433955.63
518 304415.32 0.701489504814121  433955.63
521 316801.77 0.730032630294484  433955.63
524 327320.64 0.754272136070685  433955.63
527 336557.375 0.775557111679828  433955.63
530 344254.86 0.793295065672958  433955.63
533 353302.01 0.81414316482079  433955.63
536 361335 0.832654250850484  433955.63
539 368600.76 0.849397345069587  433955.63
542 373980.58 0.861794511111654  433955.63
545 377480.6 0.869859897888639  433955.63
548 379681.26 0.874931061500458  433955.63
551 380877.1 0.877686734931864  433955.63
554 382332.08 0.881039566187907  433955.63
557 382950.75 0.882465218851982  433955.63
560 382808.4 0.882137189924232  433955.63
563 381718.22 0.879624997606322  433955.63
566 379445.04 0.87438672013542  433955.63
569 378497.48 0.872203178928684  433955.63
572 376986.33 0.868720910476493  433955.63
575 373946.88 0.861716853402731  433955.63
578 369384.6 0.851203612682707  433955.63
581 367842.3 0.84764956269838  433955.63
584 364166.73 0.839179641476249  433955.63
587 359947.47 0.829456850231439  433955.63
590 352497.48 0.812289219522281  433955.63
593 341718.42 0.787450136319236  433955.63
596 329734.04 0.759833534133432  433955.63
599 317548.8 0.731754073567383  433955.63
602 304936.8 0.702691194489169  433955.63
605 296419.16 0.68306328921231  433955.63
608 286560.41 0.660344952777776  433955.63
611 277907.24 0.640404734465595  433955.63
614 267238.48 0.615819824713416  433955.63
617 257993.4 0.594515619027687  433955.63
620 249040.9 0.573885629735925  433955.63
623 240064 0.553199413497643  433955.63
626 230539.92 0.531252284939822  433955.63
629 220903.5 0.509046281989705  433955.63
632 211950.18 0.488414403103838  433955.63
635 202362.01 0.466319586636081  433955.63
638 193529.44 0.445965962003996  433955.63
641 184360.05 0.424836175071631  433955.63
644 175418.58 0.404231603124955  433955.63
647 167325 0.385580894526014  433955.63
650 158891.9 0.366147801792547  433955.63
653 152366.04 0.351109720595168  433955.63
656 145498.98 0.335285383899732  433955.63
659 139047.4 0.32041847227561  433955.63
662 132957 0.306383857722966  433955.63
665 126891.73 0.292407152316471  433955.63
668 122145.92 0.281470988174528  433955.63
671 117190.3 0.270051341424007  433955.63
674 112007.28 0.258107677966985  433955.63
677 108066.01 0.249025482167382  433955.63
680 104622.24 0.24108971693719  433955.63
682 100386.36 0.231328626846021  433955.63
685 97169.55 0.223915864393786  433955.63
688 94115.62 0.216878439853402  433955.63
691 90930 0.209537551108624  433955.63
694 88998 0.205085483048117  433955.63
697 88971.3 0.205023956020573  433955.63
700 86366 0.199020346849746  433955.63
703 85230.2 0.196403028576908  433955.63
706 84700 0.195181244681628  433955.63
709 83895.6 0.193327598952916  433955.63
712 84619.2 0.194995050530857  433955.63
715 84477.8 0.194669210767009  433955.63
718 84559.02 0.194856372758662  433955.63
721 84295 0.19424796954472  433955.63
724 84884.4 0.195606172916803  433955.63
727 84297.3 0.194253269625745  433955.63
730 85621.9 0.197305655419196  433955.63
733 85776.8 0.197662604354275  433955.63
736 86639.4 0.199650365176735  433955.63
739 88210.5 0.203270781393019  433955.63
742 90828 0.209302504037106  433955.63
745 93906 0.216395395077603  433955.63
748 95982 0.221179294297899  433955.63
751 98427 0.226813510865155  433955.63
754 101556 0.23402392544141  433955.63
757 105472 0.243047889481236  433955.63
760 110180 0.253896924899903  433955.63
763 115520 0.266202330408756  433955.63
766 120350 0.277332500560023  433955.63
769 126776 0.29214046606562  433955.63
772 131580 0.303210722257481  433955.63
775 139308 0.321018994499507  433955.63
778 145034 0.33421389186724  433955.63
781 153160 0.352939308564795  433955.63
